#amplitude=2.5V repetition rate 250kHz
file_name;width [ns]; rise time [ns];fall time [ns]
211118_112128.csv;7;3.5;3.5
211118_112355.csv;7;2.8;5.1
211118_112652.csv;7;2.5;5.4
211118_113003.csv;8;3.5;3.5
211118_113142.csv;8;3.5;4.5
# 211118_113233.csv;8;3.5;3.5
211118_113347.csv;8;3.5;2.5
211118_115508.csv;7;3.3;4.6
# 211118_115857.csv;7;3.2;4.8
211118_120308.csv;7;2.8;5.1
211118_121326.csv;10;3.5;7.7
211118_121755.csv;10;3;8.2
211118_122054.csv;9;3;7.1
211118_122825.csv;9;3;5.1
211118_123144.csv;9;3.5;6.1
# 211118_123410.csv;9;3.5;1
211118_123453.csv;9;3.5;2
211118_123553.csv;9;3.5;3
211118_123914.csv;9;3.5;5
211118_124100.csv;9;3.5;4
211118_124334.csv;9;3.5;6
211118_124521.csv;9;3.5;6.6
